SUPPORTID;SUPPORT;CITY;LOCATION_TYPE;LOCATION_NAME;PLACEMENT_TYPE;PLACEMENT_NAME;DAILY_TRAFFIC;SIZE;NUMBER_OF_PIECES;NUMBER_OF_FACES;COST;SPECIAL_COST;PRINT_SUPPORT;DIGITAL_SUPPORT
1;BOULEVARD VITRINES;BUCURESTI;MALL;BANEASA SHOPPING CITY;OUTDOOR;OUTDOOR - ENTRANCE FOOD COURT;65000;0.9x1.42m;10;40;50;60;YES;YES
2;CITY LIGHT - 2 faces outdoor;BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;CITY LIGHT - 2 faces - outdoor;65000;1.167x1.772m;10;20;50;60;YES;YES
3;DIGITAL STAND-UP COLUMN;BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;INDOOR;65000;1080x1920 px, 15 sec;1;4;50;60;YES;YES
4;TOTEMS (15 SEC SPOT);BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;INDOOR (10 pieces - 20 faces);65000;1080x1920pix;1;20;50;60;YES;YES
5;TRAVELATORS - 1 pereche STAR ATRIUM;BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;STAR ATRIUM;65000;70;1;8;50;60;YES;YES
6;ESCALATORS - 1 pereche (Mijloc);BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;ESCALATORS (Mijloc);65000;60;1;8;50;60;YES;YES
7;ESCALATORS - 2 perechi (Food Court);BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;ESCALATORS (Food Court);65000;90;1;16;50;60;YES;YES
8;TRAVELATORS 1 bucata (LINK TO CARREFOUR);BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;TRAVELATOR 1 (LINK TO CARREFOUR);65000;20;1;4;50;60;YES;YES
9;ESCALATOR - 1 PIECE ( H&M );BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;H&M;65000;54;1;4;50;60;YES;YES
10;ESCALATOR - 1 PIECE (TRENDS );BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;TRENDS;65000;54;1;4;50;60;YES;YES
11;ESCALATOR - 1 PIECE ( DOUGLAS );BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;DOUGLAS;65000;54;1;4;50;60;YES;YES
12;ESCALATOR - 1 PIECE ( RAIFFEISEN BANK );BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;RAIFFEISEN BANK;65000;54;1;4;50;60;YES;YES
13;BACK OF ESCALATORS;BUCURESTI;MALL;BANEASA SHOPPING CITY;INDOOR;FOOD COURT;65000;30;1;1;50;60;YES;YES
